Name ,Voltage,Conductivity,Temperature,AvgMemPotential,H2Flow,CurrentDensity,TransferCurrent,Faraday_H2_mol,Faraday_H2_kg,Efficiency,Voltage_loss,Resistivity_Index,J_norm,Resistivity_Index_norm,VL_norm,Degradation_index
DP 1,1.7631,8.67,316.77,0.88154959,1.13E-08,7922.2696,2.1603622,1.12E-05,2.26E-08,0.6805626453,0.5632,0.1153402537,0.2456499956,0.1953732149,0.5261621847,0.3191711804
DP 2,1.673,3.205,329.6,0.83649991,4.56E-09,3654.364,0.87364808,4.53E-06,9.13E-09,0.7172145846,0.4731,0.3120124805,0.09630463461,1,0.3383364603,0.4734315613
DP 3,1.8711,4.248,344.54,0.93554953,1.53E-08,10549.193,2.9207688,1.51E-05,3.05E-08,0.6412805302,0.6712,0.2354048964,0.3375730277,0.686582518,0.7513028976,0.5859012863
DP 4,1.9174,11.03,351.5,0.95869927,4.01E-08,26265.134,7.6734062,3.98E-05,8.02E-08,0.6257953479,0.7175,0.09066183137,0.887515576,0.09440868126,0.8478215551,0.6038161181
DP 5,1.7429,12.514,319.31,0.87144997,1.57E-08,10646.051,3.0034212,1.56E-05,3.14E-08,0.688450284,0.543,0.07991050024,0.3409623465,0.0504227604,0.4840525328,0.2888944211
DP 6,1.949,4.805,374.18,0.97449982,2.44E-08,16412.238,4.6674237,2.42E-05,4.88E-08,0.6156490508,0.7491,0.2081165453,0.5427365561,0.5749402255,0.91369606,0.6703530378
DP 7,1.7332,4.923,338.69,0.86659971,9.83E-09,7021.8337,1.8830872,9.76E-06,1.97E-08,0.6923032541,0.5333,0.2031281739,0.2141413501,0.5545317657,0.4638315614,0.4067265435
DP 8,1.6332,9.442,360.01,0.81659941,1.20E-08,8295.9829,2.2949317,1.19E-05,2.40E-08,0.734692628,0.4333,0.1059097649,0.2587272173,0.1567911331,0.2553679383,0.2213924753
DP 9,1.7168,6.582,349.23,0.85839952,1.28E-08,8869.0731,2.4471218,1.27E-05,2.56E-08,0.698916589,0.5169,0.1519295047,0.2787811666,0.3450674135,0.4296435272,0.3476523954
DP 10,1.5107,11.667,314.26,0.75535,3.54E-10,902.22569,0.067842291,3.52E-07,7.09E-10,0.7942675581,0.3108,0.0857118368,0,0.07415722899,0,0.02447188557
DP 11,1.8008,14.3,378.48,0.90039841,4.16E-08,27131.311,7.9656225,4.13E-05,8.32E-08,0.6663149711,0.6009,0.06993006993,0.9178254115,0.009590754341,0.6047529706,0.505615815
DP 12,1.6419,7.132,330.8,0.82094987,6.36E-09,4754.6821,1.2175701,6.31E-06,1.27E-08,0.7307996833,0.442,0.1402131239,0.1348076896,0.2971332749,0.2735042735,0.2327969285
DP 13,1.936,7.718,369.54,0.96800002,3.47E-08,22926.368,6.64103,3.44E-05,6.94E-08,0.6197830579,0.7361,0.1295672454,0.7706832793,0.2535787824,0.886595789,0.6305830907
DP 14,1.788,9.212,360.88,0.8939991,2.48E-08,16503.693,4.7455659,2.46E-05,4.96E-08,0.6710850112,0.5881,0.1085540599,0.5459368097,0.1676094914,0.5780696269,0.4262332562
DP 15,1.8336,13.622,381.55,0.91679829,4.52E-08,29479.649,8.6610508,4.49E-05,9.05E-08,0.6543957243,0.6337,0.07341065923,1,0.02383056554,0.673129039,0.5599966695
DP 16,1.57,3.591,342.72,0.78499847,2.75E-09,2451.0889,0.52611853,2.73E-06,5.50E-09,0.7642675159,0.3701,0.2784739627,0.05419884057,0.8627869821,0.1236189285,0.3433995679
DP 17,1.5479,10.516,366.06,0.77394946,7.36E-09,5327.9598,1.4100287,7.31E-06,1.47E-08,0.7751792751,0.348,0.09509319133,0.1548682,0.112538292,0.07754846779,0.1138351368
DP 18,1.8557,5.464,336.38,0.92784963,1.69E-08,11572.506,3.2370636,1.68E-05,3.38E-08,0.6466023603,0.6558,0.1830161054,0.3733814695,0.472249131,0.7191994997,0.5163939331
DP 19,1.699,13.188,352.97,0.84949931,2.01E-08,13405.081,3.8438176,1.99E-05,4.02E-08,0.7062389641,0.4991,0.07582650895,0.4375081397,0.03371430675,0.3925370023,0.2850406181
DP 20,1.6052,14.796,333.85,0.80259983,7.02E-09,5115.0538,1.3441196,6.97E-06,1.40E-08,0.7475080987,0.4053,0.06758583401,0.1474180532,0,0.1969981238,0.1136573384
DP 21,1.9904,5.961,368.88,0.99520006,3.12E-08,20773.525,5.9756688,3.10E-05,6.24E-08,0.6028436495,0.7905,0.1677570877,0.6953495805,0.4098213315,1,0.694706401
DP 22,1.9774,11.535,321.9,0.98869231,3.36E-08,22207.546,6.4445009,3.34E-05,6.73E-08,0.6068069182,0.7775,0.08669267447,0.7455297869,0.07817003888,0.972899729,0.5928778531
DP 23,1.5892,13.011,375,0.79459918,1.39E-08,9437.9571,2.6561765,1.38E-05,2.77E-08,0.7550339794,0.3893,0.07685804319,0.2986879299,0.03793452685,0.1636439441,0.1650879123
DP 24,1.8822,9.736,324.43,0.9410998,2.68E-08,17818.527,5.1369715,2.66E-05,5.37E-08,0.6374986718,0.6823,0.1027115859,0.5919463461,0.1437067209,0.7744423598,0.4983314908
DP 25,1.536,8.056,356.53,0.7679997,4.47E-09,3510.6048,0.8565725,4.44E-06,8.95E-09,0.7811848958,0.3361,0.1241310824,0.09127411809,0.2313383145,0.05274129664,0.1238667306
