Name ,Voltage,Conductivity,Temperature,AvgMemPotential,H2Flow,CurrentDensity,TransferCurrent,Faraday_H2_mol,Faraday_H2_kg,Efficiency,Voltage_loss,Resistivity_Index,J_norm,Resistivity_Index_norm,VL_norm,Degradation_index
DP 0,1.8548,12.803,314.22,0.92740007,6.48E-09,4898.0404,1.2400414,6.43E-06,1.30E-08,0.6469161096,0.6549,0.07810669374,0.1049119373,0.1002521204,0.7104525431,0.3021534783
DP 1,1.8768,11.581,372.23,0.9383988,4.24E-08,27710.476,8.1114122,4.20E-05,8.47E-08,0.6393329071,0.6769,0.08634832916,0.7095975072,0.1296487272,0.7545054065,0.5259380415
DP 2,1.9396,4.033,330.55,0.96979975,1.61E-08,11119.302,3.0824408,1.60E-05,3.22E-08,0.6186327078,0.7397,0.2479543764,0.2698179203,0.7060718757,0.8802563076,0.6125282142
DP 3,1.593,7.47,336.98,0.79649986,4.77E-09,3724.0327,0.91270028,4.73E-06,9.54E-09,0.7532328939,0.3931,0.1338688086,0.07379270363,0.2991467431,0.1862234682,0.1845237619
DP 4,1.7273,8.354,325.91,0.86364912,1.19E-08,8277.5492,2.2743251,1.18E-05,2.38E-08,0.6946679789,0.5274,0.1197031362,0.1944920348,0.2486200358,0.4551461754,0.2964252212
DP 5,1.8572,6.56,371.99,0.92859895,2.52E-08,16881.416,4.8314957,2.50E-05,5.05E-08,0.6460801206,0.6573,0.1524390244,0.4225533515,0.3653837587,0.71525831,0.4960544887
DP 6,1.9803,14.866,350.36,0.99014987,5.96E-08,38666.233,11.420806,5.92E-05,1.19E-07,0.6059182952,0.7804,0.06726759047,1,0.06159075752,0.9617541049,0.6677038046
DP 7,1.9847,6.901,345.99,0.99234956,3.12E-08,20713.52,5.9691086,3.09E-05,6.24E-08,0.6045749987,0.7848,0.1449065353,0.5241303173,0.3385165643,0.9705646776,0.6049598145
DP 8,1.8242,10.691,318.63,0.91209878,1.68E-08,11448.978,3.2234023,1.67E-05,3.37E-08,0.6577677886,0.6243,0.09353661959,0.2785565891,0.1552882195,0.6491790148,0.3573978617
DP 9,1.7318,12.358,378.98,0.86589878,2.94E-08,19340.81,5.6212015,2.91E-05,5.87E-08,0.6928629172,0.5319,0.0809192426,0.4877441136,0.1102840362,0.4641569884,0.3505210956
DP 10,1.5167,3.708,333.68,0.75834981,1.07E-09,1360.6712,0.20484842,1.06E-06,2.14E-09,0.7911254698,0.3168,0.2696871629,0.01114745958,0.7835892795,0.03344012815,0.2732983662
DP 11,1.7464,11.955,372.63,0.87319886,2.86E-08,18900.431,5.4855463,2.84E-05,5.73E-08,0.6870705451,0.5465,0.08364700962,0.4760710581,0.1200135487,0.4933920705,0.3595273035
DP 12,1.6052,3.462,372.89,0.80259952,5.98E-09,4529.176,1.1458858,5.94E-06,1.20E-08,0.7475080987,0.4053,0.2888503755,0.09513450789,0.8519414207,0.2106527833,0.3820504749
DP 13,1.8627,10.07,331.21,0.93134963,2.72E-08,18025.622,5.2027182,2.70E-05,5.44E-08,0.6441724379,0.6628,0.09930486594,0.4528826363,0.1758626397,0.7262715258,0.4471555446
DP 14,1.5684,5.346,351.97,0.78419975,4.42E-09,3504.4657,0.8463637,4.39E-06,8.84E-09,0.7650471818,0.3685,0.1870557426,0.06797267639,0.4888561043,0.1369643572,0.2289517355
DP 15,1.5277,3.394,366.2,0.76384935,3.08E-09,2643.1597,0.58934734,3.05E-06,6.16E-09,0.7854290764,0.3278,0.2946375958,0.04514217646,0.8725835178,0.05546655987,0.3211534439
DP 16,1.8334,10.963,352.15,0.91669912,3.10E-08,20444.404,5.9357751,3.08E-05,6.20E-08,0.6544671103,0.6335,0.09121590805,0.5169969027,0.1470106094,0.6676011213,0.439430849
DP 17,1.9366,8.921,348.43,0.96829933,3.48E-08,22969.13,6.6665998,3.45E-05,6.96E-08,0.6195910358,0.7367,0.1120950566,0.5839194096,0.221483222,0.8742490989,0.5542850711
DP 18,1.6343,4.93,374,0.81714937,9.19E-09,6570.9662,1.7598693,9.12E-06,1.84E-08,0.7341981276,0.4344,0.2028397566,0.1492559131,0.5451551796,0.2689227072,0.317900154
DP 19,1.5539,11.515,351.59,0.77694969,5.70E-09,4277.7254,1.091646,5.66E-06,1.14E-08,0.7721861124,0.354,0.08684324794,0.08846934718,0.131414024,0.1079295154,0.1081782526
DP 20,1.7292,11.145,318.23,0.86459999,1.30E-08,8973.3854,2.4940301,1.29E-05,2.61E-08,0.6939046958,0.5293,0.08972633468,0.2129364533,0.1416975374,0.4589507409,0.2684829614
DP 21,1.6162,8.032,365.42,0.8080994,1.05E-08,7352.936,2.007906,1.04E-05,2.10E-08,0.7424204925,0.4163,0.124501992,0.1699834611,0.2657367936,0.2326792151,0.220571825
DP 22,1.5348,4.202,346.3,0.76739896,2.26E-09,2125.3527,0.43369441,2.25E-06,4.53E-09,0.7817956737,0.3349,0.2379819134,0.0314167494,0.6705016812,0.06968362034,0.2546286768
DP 23,1.5779,8.224,358.19,0.78894959,7.09E-09,5180.5517,1.3569926,7.03E-06,1.42E-08,0.7604410926,0.378,0.1215953307,0.112400419,0.2553691936,0.1559871846,0.1728397431
DP 24,1.8015,4.405,344.29,0.90074957,1.26E-08,8799.0176,2.4057176,1.25E-05,2.51E-08,0.6660560644,0.6016,0.227014756,0.208314514,0.6313835695,0.6037244694,0.4763294425
DP 25,1.8598,6.341,336.03,0.92989961,1.93E-08,13087.16,3.6962973,1.92E-05,3.86E-08,0.6451769007,0.6599,0.1577038322,0.3219796165,0.3841624935,0.7204645575,0.4707802003
DP 26,1.7493,5.534,347.6,0.87464954,1.27E-08,8857.1357,2.4349682,1.26E-05,2.54E-08,0.6859315155,0.5494,0.1807011203,0.2098550412,0.4661901741,0.4991990388,0.3878306039
DP 27,1.6354,6.823,379.62,0.81769918,1.25E-08,8684.5401,2.4021335,1.24E-05,2.51E-08,0.7337042925,0.4355,0.1465630954,0.2052800773,0.3444252517,0.2711253504,0.2708741242
DP 28,1.8957,7.089,373.59,0.94784902,3.00E-08,19921.106,5.740151,2.97E-05,6.00E-08,0.6329588015,0.6958,0.1410636197,0.5031259265,0.3248094937,0.792350821,0.5346944596
DP 29,1.5598,3.027,338.86,0.77989855,2.01E-09,1977.1434,0.38437404,1.99E-06,4.02E-09,0.7692652904,0.3599,0.3303600925,0.02748818927,1,0.1197436924,0.378586521
DP 30,1.9422,10.654,330.23,0.97109959,3.65E-08,23977.232,6.985513,3.62E-05,7.30E-08,0.6178045515,0.7423,0.09386146048,0.6106410076,0.1564468755,0.8854625551,0.5453416446
DP 31,1.9249,8.457,340.56,0.96244941,3.08E-08,20375.494,5.8881695,3.05E-05,6.15E-08,0.6233570575,0.725,0.1182452406,0.5151703163,0.2434199533,0.8508209852,0.5311057141
DP 32,1.8911,11.538,381.7,0.94554885,4.63E-08,30245.062,8.866854,4.59E-05,9.26E-08,0.6344984401,0.6912,0.08667013347,0.7767813716,0.1307965522,0.7831397677,0.5579368382
DP 33,1.5676,14.726,315.89,0.78379986,1.93E-09,1910.1019,0.36944399,1.91E-06,3.86E-09,0.7654376116,0.3677,0.06790710308,0.02571113098,0.0638717976,0.1353624349,0.07423196996
DP 34,1.8616,13.822,343.93,0.93079922,3.83E-08,25045.696,7.3358802,3.80E-05,7.66E-08,0.6445530726,0.6617,0.07234843004,0.6389626114,0.0797133067,0.7240688827,0.4761057842
DP 35,1.7407,7.731,313.99,0.87035009,6.16E-09,4671.9964,1.178969,6.11E-06,1.23E-08,0.6893203883,0.5408,0.1293493727,0.09892022531,0.2830266317,0.481978374,0.2850953263
DP 36,1.7548,7.969,359.54,0.87739924,1.93E-08,13041.72,3.7031231,1.92E-05,3.87E-08,0.6837816275,0.5549,0.1254862593,0.3207751457,0.2692475187,0.5102122547,0.3630775233
DP 37,1.6984,3.408,328.25,0.84919991,5.45E-09,4227.0391,1.0428659,5.40E-06,1.09E-08,0.7064884597,0.4985,0.29342723,0.08712581356,0.8682663352,0.3972767321,0.4463807307
DP 38,1.9086,6.26,381.02,0.9542991,2.90E-08,19300.993,5.5456523,2.87E-05,5.79E-08,0.6286807084,0.7087,0.1597444089,0.4866886908,0.3914409072,0.8181818182,0.5597827673
DP 39,1.8733,12.148,326.02,0.93664973,3.13E-08,20608.7,5.9923492,3.11E-05,6.26E-08,0.6405274115,0.6734,0.08231807705,0.5213518704,0.1152734569,0.7474969964,0.4567603668
DP 40,1.7795,9.865,364.28,0.88974903,2.61E-08,17310.936,4.9925658,2.59E-05,5.22E-08,0.674290531,0.5796,0.1013684744,0.4339385692,0.1832232039,0.5596716059,0.3883550151
